student_id,question_id,question_type,time_spent,accuracy,student_name,performance_category
6,1,arithmetic,3.0,0,HAFSA,Struggling
6,2,arithmetic,15.0,1,HAFSA,Mastered
6,3,arithmetic,15.0,0,HAFSA,Struggling
6,4,arithmetic,14.0,1,HAFSA,Mastered
6,5,arithmetic,15.0,0,HAFSA,Struggling
6,6,geometry,15.0,0,HAFSA,Struggling
6,7,geometry,15.0,1,HAFSA,Mastered
6,8,geometry,15.0,1,HAFSA,Mastered
6,9,geometry,15.0,1,HAFSA,Mastered
6,10,geometry,15.0,1,HAFSA,Mastered
6,11,number_sequence,15.0,0,HAFSA,Struggling
6,12,number_sequence,15.0,0,HAFSA,Struggling
6,13,number_sequence,15.0,0,HAFSA,Struggling
6,14,number_sequence,15.0,0,HAFSA,Struggling
6,15,number_sequence,15.0,0,HAFSA,Struggling
67,1,arithmetic,15.0,0,HAFSAAA,Struggling
67,2,arithmetic,17.0,0,HAFSAAA,Struggling
67,3,arithmetic,18.0,1,HAFSAAA,Mastered
67,4,arithmetic,20.0,1,HAFSAAA,Mastered
67,5,arithmetic,20.0,1,HAFSAAA,Mastered
67,6,geometry,20.0,1,HAFSAAA,Mastered
67,7,geometry,15.0,1,HAFSAAA,Mastered
67,8,geometry,15.0,1,HAFSAAA,Mastered
67,9,geometry,10.0,1,HAFSAAA,Mastered
67,10,geometry,10.0,1,HAFSAAA,Mastered
67,11,number_sequence,5.0,0,HAFSAAA,Struggling
67,12,number_sequence,10.0,0,HAFSAAA,Struggling
67,13,number_sequence,8.0,0,HAFSAAA,Struggling
67,14,number_sequence,10.0,0,HAFSAAA,Struggling
67,15,number_sequence,13.0,0,HAFSAAA,Struggling
